game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,average_rating,users_rated
110,6,60,8,2,60,Auf Achse,60,1987,6.26805,1293
136,6,30,8,3,30,Robin Hood,30,1999,5.49324,74
148,6,60,8,3,60,Die Glücksritter,60,1999,5.7768,125
151,4,15,8,2,15,Piratenbillard,15,1959,6.56711,336
169,2,30,8,2,30,En Garde,30,1993,6.50667,1386
170,6,30,8,2,30,Family Business,30,1982,6.1159,3409
172,6,20,8,3,20,For Sale,20,1997,7.22213,15544
175,5,20,8,2,20,Raj,20,1988,6.46531,1470
178,2,15,8,2,15,Mole Hill,15,1997,5.94555,191
182,4,30,8,2,30,Knights of Charlemagne,30,1995,6.36252,604
185,5,30,8,2,30,Devil Bunny Needs a Ham,30,1998,5.39,680
193,10,30,8,2,30,Fill or Bust,30,1981,5.69269,401
195,5,30,8,2,30,NASCAR Champions,30,1998,5.36389,90
210,6,30,8,3,30,Don Pepe,30,1999,6.24783,345
225,5,20,8,3,20,Icehouse,20,1989,6.66445,602
258,6,30,8,2,5,Fluxx,30,1997,5.69886,12304
287,6,45,8,2,45,Bazaar,45,1967,6.5089,1444
291,8,120,8,3,120,Courtisans of Versailles,120,1988,5.80276,163
292,5,30,8,3,30,Attacke,30,1993,5.73231,130
300,6,30,8,2,30,Tutankhamen,30,1993,6.13258,1197
309,2,20,8,2,20,Arabana-Ikibiti,20,1997,6.20714,70
321,4,45,8,2,45,The Mole in the Hole,45,1995,6.3309,673
333,5,30,8,2,30,Waterworks,30,1972,5.46077,1562
334,4,60,8,2,60,Advance to Boardwalk,60,1985,5.35075,626
336,2,15,8,2,15,Jumpin,15,1964,5.45858,169
339,8,30,8,1,30,Quiddler,30,1998,6.03172,2383
342,2,15,8,2,15,Hong Kong,15,1999,5.76522,69
343,6,30,8,3,30,Twins,30,1996,6.20182,110
356,6,45,8,3,45,Ab die Post!,45,1996,5.29609,179
357,6,30,8,3,30,Excape,30,1998,6.30864,1349
361,6,45,8,2,45,Hare & Tortoise,45,1973,6.65489,3594
366,6,45,8,2,45,Viva Pamplona!,45,1992,6.3549,363
368,5,30,8,3,30,Relationship Tightrope,30,1999,6.17973,975
371,4,40,8,2,20,Mystery Rummy: Murders in the Rue Morgue,40,1999,6.73014,700
372,2,20,8,2,20,Schotten Totten,20,1999,7.29412,3732
379,6,60,8,2,60,Express,60,1990,6.19128,578
380,4,20,8,2,20,Polarity,20,1986,6.41286,1600
381,6,90,8,3,90,X Pasch,90,1996,6.21889,90
382,7,30,8,2,30,Heimlich & Co.,30,1984,6.44488,2656
386,4,15,8,2,15,Pirateer,15,1978,5.48493,1133
389,6,30,8,3,30,Die Mauer,30,1997,6.0572,254
393,4,90,8,1,90,Dinosaurs of the Lost World,90,1987,6.53874,374
396,6,45,8,2,45,Der dreizehnte Holzwurm,45,1998,5.97837,104
403,2,15,8,2,15,Elk Fest,15,1999,6.17664,1617
408,2,30,8,2,30,Zoon,30,1999,5.4502,255
430,5,30,8,2,30,Asterix: Das Kartenspiel,30,1990,5.94308,130
432,10,45,8,2,45,6 nimmt!,45,1994,6.88907,11674
442,4,90,8,2,60,Um Reifenbreite,90,1979,6.85807,1859
444,8,30,8,2,30,Midnight Party,30,1989,6.4341,1317
446,6,30,8,2,30,Avalanche,30,1965,5.78434,198
450,4,30,8,2,10,Octi,30,1999,6.76895,287
452,5,30,8,2,30,Mummy Rummy,30,1994,5.03517,145
457,5,30,8,2,30,Jumbo Grand Prix,30,1998,5.80826,121
462,6,15,8,2,15,Esels-Rennen,15,1989,5.5,112
473,8,30,8,3,30,Olé!,30,1996,6.58429,226
482,5,30,8,2,30,Sky Runner,30,1999,5.57924,361
484,8,60,8,2,60,Stratego Legends,60,1999,5.75063,655
515,8,60,8,3,60,6-Tage Rennen,60,1986,6.89286,232
524,4,30,8,2,30,Desperados,30,1990,5.53492,309
536,8,60,8,4,60,Visionary,60,1997,6.49163,203
556,6,20,8,2,20,7 Safari,20,2000,5.38043,92
559,6,30,8,2,30,Metro,30,1997,6.36559,4608
568,10,45,8,2,45,Rage,45,1983,6.18028,1374
569,4,30,8,2,20,Maestro,30,1989,5.85216,162
572,8,60,8,2,30,Battle Cattle,60,1996,5.42319,69
573,6,60,8,3,60,Grand Prix,60,1975,6.2725,80
574,6,30,8,3,30,Formel Fun,30,1991,6.41113,284
590,6,45,8,2,45,Mille Bornes,45,1954,5.67488,5740
608,4,60,8,2,60,Siesta,60,1999,6.30286,280
613,2,15,8,2,15,Overboard,15,1978,5.58393,56
618,2,40,8,2,40,MLB Showdown,40,2000,6.12056,214
624,4,15,8,2,15,Quoridor,15,1997,6.69271,4271
625,6,45,8,2,45,Business,45,1998,6.14306,72
629,4,20,8,2,20,Q-Turn,20,1999,5.02936,157
632,6,30,8,3,30,Cloud 9,30,1999,6.47126,2051
634,6,30,8,2,30,River Dragons,30,2000,6.46149,2499
635,6,20,8,3,20,Formula Motor Racing,20,1995,6.39899,1702
637,12,20,8,2,20,Stock Car Championship Racing Card Game,20,1995,6.81936,213
645,4,60,8,2,60,Bosworth,60,1998,5.82544,338
646,6,30,8,2,30,Pirate's Plunder,30,2000,4.58859,64
651,5,20,8,2,20,Zero,20,1998,6.4188,474
653,6,20,8,2,20,Shit!,20,1996,5.48129,101
657,8,30,8,3,30,Münchhausen,30,1996,5.83728,114
684,6,30,8,2,30,Monopoly: The Card Game,30,2000,5.5495,522
710,2,20,8,2,20,Snit's Revenge,20,1977,6.22529,354
748,2,10,8,2,10,Trax,10,1980,6.51616,463
754,2,15,8,2,15,Domain,15,1983,6.05807,147
765,5,45,8,2,45,Space Walk,45,1999,5.97148,324
782,6,120,8,3,120,"Win, Place & Show",120,1966,6.71985,726
783,9,10,8,1,10,Letter Head,10,2000,6.04579,78
808,4,30,8,2,30,Pipeline,30,1988,5.3225,80
811,4,60,8,2,60,Rummikub,60,1977,6.29554,8073
822,5,45,8,2,30,Carcassonne,45,2000,7.43536,67056
826,5,45,8,2,45,Cartagena,45,2000,6.70984,6545
849,2,90,8,2,90,Golf Masters,90,2000,4.78361,61
856,4,30,8,3,30,"New York, New York",30,1989,5.53418,79
858,6,20,8,3,20,Blindes Huhn,20,1997,5.35373,67
869,8,15,8,2,15,Bongo!,15,2000,6.10071,436
876,2,40,8,2,40,Tennis Masters,40,2000,5.78235,85
878,4,45,8,2,30,Wyatt Earp,45,2001,6.87055,3548
900,6,30,8,2,30,City,30,1988,5.6455,100
906,6,45,8,3,45,Abilene,45,1983,5.78319,119
908,2,30,8,2,30,Tally Ho!,30,1973,6.11415,2153
909,4,30,8,2,30,Saturn,30,1997,6.76695,174
917,4,45,8,2,45,Rack-O,45,1956,5.65916,1930
923,6,20,8,2,20,Breakaway Rider,20,1963,6.14726,675
925,24,60,8,8,60,Werewolf,60,1986,6.65773,3786
927,4,30,8,2,30,Lift Off,30,2000,5.1711,154
929,8,60,8,4,60,The Great Dalmuti,60,1995,6.55348,5450
932,6,45,8,2,45,Top Race,45,1996,6.77162,1137
934,7,60,8,3,60,Die Kette von Saba,60,1984,5.36667,75
941,4,30,8,2,30,Turbo Taxi,30,2000,6.05163,1008
